epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,68.1636,1.16957,0.82532,0.81336,0.98978,1,0.995,0.75529,0.98714,0.59663,0.8405,0.000140445,0.000140445,0.000140445
187,68.5337,1.10072,0.75558,0.85238,0.98978,1,0.995,0.75529,0.98714,0.59663,0.8405,0.000132193,0.000132193,0.000132193
188,68.899,0.92563,0.75458,0.81519,0.9906,1,0.995,0.75778,0.98065,0.59258,0.8398,0.000123941,0.000123941,0.000123941
189,69.2615,1.0822,0.76024,0.8086,0.9906,1,0.995,0.75778,0.98065,0.59258,0.8398,0.00011569,0.00011569,0.00011569
190,69.6136,1.1571,0.78657,0.83204,0.9906,1,0.995,0.75778,0.98065,0.59258,0.8398,0.000107438,0.000107438,0.000107438
191,70.2713,1.09467,1.22843,0.77308,0.9906,1,0.995,0.75778,0.98065,0.59258,0.8398,9.91865e-05,9.91865e-05,9.91865e-05
192,70.7129,0.86865,0.76984,0.80182,0.99035,1,0.995,0.76199,0.99205,0.57769,0.84087,9.09349e-05,9.09349e-05,9.09349e-05
193,71.1036,1.02005,0.975,0.83583,0.99035,1,0.995,0.76199,0.99205,0.57769,0.84087,8.26832e-05,8.26832e-05,8.26832e-05
194,71.4667,0.98856,0.84179,0.81227,0.99035,1,0.995,0.76199,0.99205,0.57769,0.84087,7.44316e-05,7.44316e-05,7.44316e-05
195,71.8282,1.2391,1.29643,0.76659,0.99035,1,0.995,0.76199,0.99205,0.57769,0.84087,6.61799e-05,6.61799e-05,6.61799e-05
196,72.2058,0.95083,0.79983,0.83625,0.99041,1,0.995,0.74331,0.9872,0.56918,0.83966,5.79283e-05,5.79283e-05,5.79283e-05
197,72.5623,1.04593,0.98297,0.79399,0.99041,1,0.995,0.74331,0.9872,0.56918,0.83966,4.96766e-05,4.96766e-05,4.96766e-05
198,72.9184,1.03483,1.06671,0.80758,0.99041,1,0.995,0.74331,0.9872,0.56918,0.83966,4.1425e-05,4.1425e-05,4.1425e-05
199,73.2742,0.93256,0.85473,0.81609,0.99041,1,0.995,0.74331,0.9872,0.56918,0.83966,3.31733e-05,3.31733e-05,3.31733e-05
200,73.644,0.91227,0.90207,0.82841,0.99026,1,0.995,0.74177,0.97969,0.55365,0.84018,2.49217e-05,2.49217e-05,2.49217e-05
